"Lead Agency","Scientific Name","Common Name","Current
ESA Listing Status  ","Initial Listing Date","Group"
"FWS","Eumops floridanus","bat, Florida bonneted","Endangered","2013/11/01","<div>Mammals</div>"
"FWS","Eremophila alpestris strigata","Horned lark, streaked ()","Threatened","2013/11/04","<div>Birds</div>"
"FWS","Eurycea tonkawae","Salamander, Jollyville Plateau ()","Threatened","2013/09/19","<div>Amphibians</div>"
"FWS","Eurycea waterlooensis","Salamander, Austin blind","Endangered","2013/09/19","<div>Amphibians</div>"
"FWS","Plethodon neomexicanus","Salamander, Jemez Mountains","Endangered","2013/10/10","<div>Amphibians</div>"
"FWS","Cottus specus","Sculpin, Grotto","Endangered","2013/10/25","<div>Fishes</div>"
"FWS","Crystallaria cincotta","Darter, diamond","Endangered","2013/08/26","<div>Fishes</div>"
"FWS","Elassoma alabamae","Sunfish, spring pygmy ()","Threatened","2013/12/02","<div>Fishes</div>"
"FWS","Lampsilis rafinesqueana","Mucket, Neosho ()","Endangered","2013/10/17","<div>Clams</div>"
"FWS","Pleuronaia dolabelloides","Pearlymussel, slabside ()","Endangered","2013/10/28","<div>Clams</div>"
"FWS","Ptychobranchus subtentum","Kidneyshell, fluted ()","Endangered","2013/10/28","<div>Clams</div>"
"FWS","Quadrula cylindrica cylindrica","Rabbitsfoot ()","Threatened","2013/10/17","<div>Clams</div>"
"FWS","Newcombia cumingi","Tree snail, Newcomb's","Endangered","2013/06/27","<div>Snails</div>"
"FWS","Partulina semicarinata","Snail, Lanai tree","Endangered","2013/06/27","<div>Snails</div>"
"FWS","Partulina variabilis","Snail, Lanai tree","Endangered","2013/06/27","<div>Snails</div>"
"FWS","Pseudotryonia adamantina","Tryonia, Diamond","Endangered","2013/07/09","<div>Snails</div>"
"FWS","Pyrgulopsis texana","Springsnail, Phantom","Endangered","2013/08/08","<div>Snails</div>"
"FWS","Tryonia cheatumi","Tryonia, Phantom","Endangered","2013/07/09","<div>Snails</div>"
"FWS","Tryonia circumstriata (=stocktonensis)","Tryonia, Gonzales","Endangered","2013/07/09","<div>Snails</div>"
"FWS","Drosophila digressa","Fly, Hawaiian picture-wing","Endangered","2013/11/29","<div>Insects</div>"
"FWS","Euphydryas editha taylori","Checkerspot, Taylor's (=whulge)","Endangered","2013/11/04","<div>Insects</div>"
"FWS","Icaricia (Plebejus) shasta charlestonensis","Butterfly, Mount Charleston blue","Endangered","2013/10/21","<div>Insects</div>"
"FWS","Gammarus hyalleloides","Amphipod, diminutive","Endangered","2013/07/09","<div>Crustaceans</div>"
"FWS","Gammarus pecos","Amphipod, Pecos ()","Endangered","2013/07/09","<div>Crustaceans</div>"
"FWS","Vetericaris chaceorum","Shrimp, anchialine pool","Endangered","2013/11/29","<div>Crustaceans</div>"
"FWS","Bidens campylotheca pentamera","Ko`oko`olau","Endangered","2013/06/27","<div>Flowering Plants</div>"
"FWS","Bidens campylotheca waihoiensis","Ko`oko`olau","Endangered","2013/06/27","<div>Flowering Plants</div>"
"FWS","Bidens conjuncta","Ko`oko`olau","Endangered","2013/06/27","<div>Flowering Plants</div>"
"FWS","Bidens hillebrandiana ssp. hillebrandiana","No common name ()","Endangered","2013/11/29","<div>Flowering Plants</div>"
"FWS","Bidens micrantha ctenophylla","Ko`oko`olau","Endangered","2013/11/29","<div>Flowering Plants</div>"
"FWS","Calamagrostis hillebrandii","Reedgrass, Hillegrand's","Endangered","2013/06/27","<div>Flowering Plants</div>"
"FWS","Canavalia pubescens","`Awikiwiki","Endangered","2013/06/27","<div>Flowering Plants</div>"
"FWS","Chromolaena frustrata","Thoroughwort, Cape Sable","Endangered","2013/11/25","<div>Flowering Plants</div>"
"FWS","Consolea corallicola","Cactus, Florida semaphore","Endangered","2013/11/25","<div>Flowering Plants</div>"
"FWS","Cyanea asplenifolia","Haha","Endangered","2013/06/27","<div>Flowering Plants</div>"
"FWS","Cyanea duvalliorum","haha ()","Endangered","2013/06/27","<div>Flowering Plants</div>"
"FWS","Cyanea horrida","nui, haha ()","Endangered","2013/06/27","<div>Flowering Plants</div>"
"FWS","Cyanea kunthiana","Haha","Endangered","2013/06/27","<div>Flowering Plants</div>"
"FWS","Cyanea magnicalyx","haha ()","Endangered","2013/06/27","<div>Flowering Plants</div>"
"FWS","Cyanea maritae","haha ()","Endangered","2013/06/27","<div>Flowering Plants</div>"
"FWS","Cyanea marksii","Haha ()","Endangered","2013/11/29","<div>Flowering Plants</div>"
"FWS","Cyanea mauiensis","haha ()","Endangered","2013/06/27","<div>Flowering Plants</div>"
"FWS","Cyanea munroi","haha ()","Endangered","2013/06/27","<div>Flowering Plants</div>"
"FWS","Cyanea obtusa","Haha","Endangered","2013/06/27","<div>Flowering Plants</div>"
"FWS","Cyanea profuga","No common name ()","Endangered","2013/06/27","<div>Flowering Plants</div>"
"FWS","Cyanea solanacea","Popolo ()","Endangered","2013/06/27","<div>Flowering Plants</div>"
"FWS","Cyanea tritomantha","`aku","Endangered","2013/11/29","<div>Flowering Plants</div>"
"FWS","Cyrtandra ferripilosa","haiwale ()","Endangered","2013/06/27","<div>Flowering Plants</div>"
"FWS","Cyrtandra filipes","Ha`iwale","Endangered","2013/06/27","<div>Flowering Plants</div>"
"FWS","Cyrtandra nanawaleensis","No common name ()","Endangered","2013/11/29","<div>Flowering Plants</div>"
"FWS","Cyrtandra oxybapha","Ha`iwale","Endangered","2013/06/27","<div>Flowering Plants</div>"
"FWS","Cyrtandra wagneri","No common name ()","Endangered","2013/11/29","<div>Flowering Plants</div>"
"FWS","Echinomastus erectocentrus var. acunensis","Cactus, Acuna","Endangered","2013/10/31","<div>Flowering Plants</div>"
"FWS","Eriogonum codium","Buckwheat, Umtanum Desert ()","Threatened","2013/05/23","<div>Flowering Plants</div>"
"FWS","Festuca molokaiensis","No common name ()","Endangered","2013/06/27","<div>Flowering Plants</div>"
"FWS","Geranium hanaense","Nohoanu","Endangered","2013/06/27","<div>Flowering Plants</div>"
"FWS","Geranium hillebrandii","Nohoanu","Endangered","2013/06/27","<div>Flowering Plants</div>"
"FWS","Harrisia (=Cereus) aboriginum (=gracilis)","Prickly-apple, aboriginal ()","Endangered","2013/11/25","<div>Flowering Plants</div>"
"FWS","Hibiscus dasycalyx","Rose-mallow, Neches River","Threatened","2013/10/11","<div>Flowering Plants</div>"
"FWS","Leavenworthia texana","Gladecress, Texas golden","Endangered","2013/10/11","<div>Flowering Plants</div>"
"FWS","Mucuna sloanei persericea","bean, sea ()","Endangered","2013/06/27","<div>Flowering Plants</div>"
"FWS","Myrsine vaccinioides","Kolea","Endangered","2013/06/27","<div>Flowering Plants</div>"
"FWS","Pediocactus peeblesianus fickeiseniae","Cactus, Fickeisen plains","Endangered","2013/10/31","<div>Flowering Plants</div>"
"FWS","Peperomia subpetiolata","`Ala `ala wai nui","Endangered","2013/06/27","<div>Flowering Plants</div>"
"FWS","Phyllostegia bracteata","No common name","Endangered","2013/06/27","<div>Flowering Plants</div>"
"FWS","Phyllostegia floribunda","No common name","Endangered","2013/11/29","<div>Flowering Plants</div>"
"FWS","Phyllostegia haliakalae","No common name ()","Endangered","2013/06/27","<div>Flowering Plants</div>"
"FWS","Phyllostegia pilosa","No common name ()","Endangered","2013/06/27","<div>Flowering Plants</div>"
"FWS","Physaria douglasii ssp. tuplashensis","Bladderpod, White Bluffs ()","Threatened","2013/05/23","<div>Flowering Plants</div>"
"FWS","Pittosporum halophilum","No common name ()","Endangered","2013/06/27","<div>Flowering Plants</div>"
"FWS","Pittosporum hawaiiense","No common name ()","Endangered","2013/11/29","<div>Flowering Plants</div>"
"FWS","Platydesma remyi","No common name","Endangered","2013/11/29","<div>Flowering Plants</div>"
"FWS","Pleomele fernaldii","Hala pepe","Endangered","2013/06/27","<div>Flowering Plants</div>"
"FWS","Pritchardia lanigera","Lo`ulu ()","Endangered","2013/11/29","<div>Flowering Plants</div>"
"FWS","Schiedea diffusa ssp. macraei","No common name ()","Endangered","2013/11/29","<div>Flowering Plants</div>"
"FWS","Schiedea hawaiiensis","Ma`oli`oli ()","Endangered","2013/11/29","<div>Flowering Plants</div>"
"FWS","Schiedea jacobii","No common name ()","Endangered","2013/06/27","<div>Flowering Plants</div>"
"FWS","Schiedea laui","No common name ()","Endangered","2013/06/27","<div>Flowering Plants</div>"
"FWS","Schiedea salicaria","No common name","Endangered","2013/06/27","<div>Flowering Plants</div>"
"FWS","Sphaeralcea gierischii","mallow, Gierisch","Endangered","2013/09/12","<div>Flowering Plants</div>"
"FWS","Stenogyne cranwelliae","No common name","Endangered","2013/11/29","<div>Flowering Plants</div>"
"FWS","Stenogyne kauaulaensis","No common name ()","Endangered","2013/06/27","<div>Flowering Plants</div>"
"FWS","Wikstroemia villosa","No common name ()","Endangered","2013/06/27","<div>Flowering Plants</div>"
