Scientific Name,Locations,ESA Listing Status,Year,Type of Animal
Rana boylii,Pacific Southwest Region,Threatened,2023,Amphibians
Rana boylii,Pacific Southwest Region,Threatened,2023,Amphibians
Rana boylii,Pacific Southwest Region,Endangered,2023,Amphibians
Rana boylii,Pacific Southwest Region,Endangered,2023,Amphibians
Tympanuchus pallidicinctus,Southwest Region,Threatened,2023,Birds
Tympanuchus pallidicinctus,Southwest Region,Endangered,2023,Birds
Glaucidium brasilianum cactorum,Southwest Region,Threatened,2023,Birds
Cyprogenia sp. cf. aberti,Southwest Region,Threatened,2023,Clams
Cyprogenia aberti,Midwest Region,Threatened,2023,Clams
Obovaria subrotunda,Midwest Region,Threatened,2023,Clams
Fusconaia subrotunda,Southeast Region,Threatened,2023,Clams
Pinus albicaulis,Mountain Prairie Region,Threatened,2023,Conifers and Cycads
Faxonius peruncus,Midwest Region,Threatened,2023,Crustaceans
Faxonius quadruncus,Midwest Region,Threatened,2023,Crustaceans
Noturus munitus,Southeast Region,Threatened,2023,Fishes
Eriogonum tiehmii,Pacific Southwest Region,Endangered,2023,Flowering Plants
Lupinus constancei,Pacific Southwest Region,Endangered,2023,Flowering Plants
Asclepias prostrata,Southwest Region,Endangered,2023,Flowering Plants
Phacelia argentea,Pacific Region,Threatened,2023,Flowering Plants
Cirsium wrightii,Southwest Region,Threatened,2023,Flowering Plants
Streptanthus bracteatus,Southwest Region,Threatened,2023,Flowering Plants
Atlantea tulita,Southeast Region,Threatened,2023,Insects
Euphydryas anicia cloudcrofti,Southwest Region,Endangered,2023,Insects
Hemileuca maia menyanthevora (=H. iroquois),Northeast Region,Endangered,2023,Insects
Donrichardsia macroneuron,Southwest Region,Endangered,2023,Lichens
Planorbella magnifica,Southeast Region,Endangered,2023,Snails
Anaxyrus williamsi,Pacific Southwest Region,Endangered,2022,Amphibians
Pleurobema athearni,Southeast Region,Endangered,2022,Clams
Procambarus econfinae,Southeast Region,Threatened,2022,Crustaceans
Macrhybopsis tetranema,Southwest Region,Endangered,2022,Fishes
Percina williamsi,Southeast Region,Threatened,2022,Fishes
Solanum conocarpum,Southeast Region,Endangered,2022,Flowering Plants
Lycaena hermes,Pacific Southwest Region,Threatened,2022,Insects
Cryptobranchus alleganiensis alleganiensis,Midwest Region,Endangered,2021,Amphibians
Necturus lewisi,Southeast Region,Threatened,2021,Amphibians
Fusconaia masoni,Southeast Region,Threatened,2021,Clams
Cambarus cracens,Southeast Region,Endangered,2021,Crustaceans
Noturus furiosus,Southeast Region,Endangered,2021,Fishes
Pectis imberbis,Southwest Region,Endangered,2021,Flowering Plants
Eryngium sparganophyllum,Southwest Region,Endangered,2021,Flowering Plants
Graptopetalum bartramii,Southwest Region,Threatened,2021,Flowering Plants
Bombus franklini,Pacific Region,Endangered,2021,Insects
Vulpes vulpes necator,Pacific Southwest Region,Endangered,2021,Mammals
Laterallus jamaicensis ssp. jamaicensis,Southeast Region,Threatened,2020,Birds
Euchloe ausonides insulanus,Pacific Region,Endangered,2020,Insects
Pekania pennanti,Pacific Southwest Region,Endangered,2020,Mammals
Martes caurina,Pacific Southwest Region,Threatened,2020,Mammals
Etheostoma trisella,Southeast Region,Threatened,2019,Fishes
Fundulus julisia,Southeast Region,Endangered,2019,Fishes
Lednia tumana,Mountain Prairie Region,Threatened,2019,Insects
Zapada glacier,Mountain Prairie Region,Threatened,2019,Insects
Necturus alabamensis,Southeast Region,Endangered,2018,Amphibians
Popenaias popeii,Southwest Region,Endangered,2018,Clams
Elliptio lanceolata,Southeast Region,Threatened,2018,Clams
Etheostoma osburni,Northeast Region,Endangered,2018,Fishes
Pituophis ruthveni,Southeast Region,Threatened,2018,Reptiles
Drepanis coccinea,Pacific Region,Threatened,2017,Birds
Percina aurora,Southeast Region,Threatened,2017,Fishes
Sideroxylon reclinatum ssp. austrofloridense,Southeast Region,Threatened,2017,Flowering Plants
Digitaria pauciflora,Southeast Region,Threatened,2017,Flowering Plants
Festuca ligulata,Southwest Region,Endangered,2017,Flowering Plants
Dalea carthagenensis floridana,Southeast Region,Endangered,2017,Flowering Plants
Chamaesyce deltoidea pinetorum,Southeast Region,Threatened,2017,Flowering Plants
Bombus affinis,Midwest Region,Endangered,2017,Insects
Kinosternon sonoriense longifemorale,Southwest Region,Endangered,2017,Reptiles
Gymnomyza samoensis,Pacific Region,Endangered,2016,Birds
Gallicolumba stairi,Pacific Region,Endangered,2016,Birds
Oceanodroma castro,Pacific Region,Endangered,2016,Birds
Setophaga angelae,Southeast Region,Threatened,2016,Birds
Medionidus walkeri,Southeast Region,Threatened,2016,Clams
Cambarus callainus,Northeast Region,Threatened,2016,Crustaceans
Cambarus veteranus,Northeast Region,Endangered,2016,Crustaceans
Procaris hawaiana,Pacific Region,Endangered,2016,Crustaceans
Microlepia strigosa var. mauiensis,Pacific Region,Endangered,2016,Ferns and Allies
Dryopteris glabra var. pusilla,Pacific Region,Endangered,2016,Ferns and Allies
Cyclosorus boydiae,Pacific Region,Endangered,2016,Ferns and Allies
Asplenium diellaciniatum,Pacific Region,Endangered,2016,Ferns and Allies
Deparia kaalaana,Pacific Region,Endangered,2016,Ferns and Allies
Hypolepis hawaiiensis var. mauiensis,Pacific Region,Endangered,2016,Ferns and Allies
Huperzia (=Phlegmariurus) stemmermanniae,Pacific Region,Endangered,2016,Ferns and Allies
Etheostoma spilotum,Southeast Region,Threatened,2016,Fishes
Nothocestrum latifolium,Pacific Region,Endangered,2016,Flowering Plants
Sicyos macrophyllus,Pacific Region,Endangered,2016,Flowering Plants
Pseudognaphalium (=Gnaphalium) sandwicensium var. molokaiense,Pacific Region,Endangered,2016,Flowering Plants
Joinvillea ascendens ascendens,Pacific Region,Endangered,2016,Flowering Plants
Exocarpos menziesii,Pacific Region,Endangered,2016,Flowering Plants
Linum arenicola,Southeast Region,Endangered,2016,Flowering Plants
Cyrtandra hematos,Pacific Region,Endangered,2016,Flowering Plants
Ochrosia haleakalae,Pacific Region,Endangered,2016,Flowering Plants
Portulaca villosa,Pacific Region,Endangered,2016,Flowering Plants
Kadua (=Hedyotis) fluviatilis,Pacific Region,Endangered,2016,Flowering Plants
Myrsine fosbergii,Pacific Region,Endangered,2016,Flowering Plants
Schiedea pubescens,Pacific Region,Endangered,2016,Flowering Plants
Ranunculus hawaiensis,Pacific Region,Endangered,2016,Flowering Plants
Ranunculus mauiensis,Pacific Region,Endangered,2016,Flowering Plants
Gardenia remyi,Pacific Region,Endangered,2016,Flowering Plants
Phyllostegia helleri,Pacific Region,Endangered,2016,Flowering Plants
Wikstroemia skottsbergiana,Pacific Region,Endangered,2016,Flowering Plants
Cyanea kauaulaensis,Pacific Region,Endangered,2016,Flowering Plants
Cyperus neokunthianus,Pacific Region,Endangered,2016,Flowering Plants
Festuca hawaiiensis,Pacific Region,Endangered,2016,Flowering Plants
Kadua haupuensis,Pacific Region,Endangered,2016,Flowering Plants
Labordia lorenciana,Pacific Region,Endangered,2016,Flowering Plants
Lepidium orbiculare,Pacific Region,Endangered,2016,Flowering Plants
Phyllostegia brevidens,Pacific Region,Endangered,2016,Flowering Plants
Phyllostegia stachyoides,Pacific Region,Endangered,2016,Flowering Plants
Pritchardia bakeri,Pacific Region,Endangered,2016,Flowering Plants
Sanicula sandwicensis,Pacific Region,Endangered,2016,Flowering Plants
Santalum involutum,Pacific Region,Endangered,2016,Flowering Plants
Schiedea diffusa subsp. diffusa,Pacific Region,Endangered,2016,Flowering Plants
Sicyos lanceoloideus,Pacific Region,Endangered,2016,Flowering Plants
Stenogyne kaalae ssp. sherffii,Pacific Region,Endangered,2016,Flowering Plants
Platanthera integrilabia,Southeast Region,Threatened,2016,Flowering Plants
Chamaecrista lineata keyensis,Southeast Region,Endangered,2016,Flowering Plants
Lepidium papilliferum,Pacific Region,Threatened,2016,Flowering Plants
