"Lead Agency","Scientific Name","Common Name","Current
ESA Listing Status  ","Initial Listing Date","Group"
"FWS","Perognathus longimembris pacificus","Mouse, Pacific pocket (Entire)","Endangered","1994/02/03","<div>Mammals</div>"
"FWS","Accipiter striatus venator","Hawk, Puerto Rican sharp-shinned (Entire)","Endangered","1994/09/09","<div>Birds</div>"
"FWS","Buteo platypterus brunnescens","Hawk, Puerto Rican broad-winged (Entire)","Endangered","1994/09/09","<div>Birds</div>"
"FWS","Anaxyrus californicus","Toad, arroyo (=arroyo southwestern) (Entire)","Endangered","1994/12/16","<div>Amphibians</div>"
"FWS","Acipenser transmontanus","Sturgeon, white (U.S.A. (ID, MT), Canada (B.C.), Kootenai R. system)","Endangered","1994/09/06","<div>Fishes</div>"
"FWS","Etheostoma etowahae","Darter, Etowah (Entire)","Endangered","1994/12/20","<div>Fishes</div>"
"FWS","Etheostoma scotti","Darter, Cherokee (Entire)","Threatened","1994/12/20","<div>Fishes</div>"
"FWS","Eucyclogobius newberryi","Goby, tidewater (Entire)","Endangered","1994/02/04","<div>Fishes</div>"
"FWS","Hybognathus amarus","Minnow, Rio Grande Silvery (Entire, except where listed as an experimental population)","Endangered","1994/07/20","<div>Fishes</div>"
"FWS","Alasmidonta raveneliana","Elktoe, Appalachian (Entire)","Endangered","1994/11/23","<div>Clams</div>"
"FWS","Athearnia anthonyi","Riversnail, Anthony's (Wherever found; Except where listed as Experimental Populations)","Endangered","1994/04/15","<div>Snails</div>"
"FWS","Helminthoglypta walkeriana","Snail, Morro shoulderband (=Banded dune)","Endangered","1994/12/15","<div>Snails</div>"
"FWS","Pyrgulopsis ogmorhaphe","Marstonia, royal (snail) (Entire)","Endangered","1994/04/15","<div>Snails</div>"
"FWS","Brychius hungerfordi","Beetle, Hungerford's crawling water (Entire)","Endangered","1994/03/07","<div>Insects</div>"
"FWS","Neonympha mitchellii francisci","Butterfly, Saint Francis' satyr (Entire)","Endangered","1994/04/18","<div>Insects</div>"
"FWS","Branchinecta conservatio","Fairy shrimp, Conservancy (Entire)","Endangered","1994/09/19","<div>Crustaceans</div>"
"FWS","Branchinecta longiantenna","Fairy shrimp, longhorn (Entire)","Endangered","1994/09/19","<div>Crustaceans</div>"
"FWS","Branchinecta lynchi","Fairy shrimp, vernal pool (Entire)","Threatened","1994/09/19","<div>Crustaceans</div>"
"FWS","Lepidurus packardi","Tadpole shrimp, vernal pool (Entire)","Endangered","1994/09/19","<div>Crustaceans</div>"
"FWS","Ambrosia cheiranthifolia","Ambrosia, south Texas","Endangered","1994/08/24","<div>Flowering Plants</div>"
"FWS","Arctostaphylos morroensis","Manzanita, Morro","Threatened","1994/12/15","<div>Flowering Plants</div>"
"FWS","Astragalus albens","Milk-vetch, Cushenbury","Endangered","1994/08/24","<div>Flowering Plants</div>"
"FWS","Auerodendron pauciflorum","No common name","Endangered","1994/03/02","<div>Flowering Plants</div>"
"FWS","Ayenia limitaris","Ayenia, Texas","Endangered","1994/08/24","<div>Flowering Plants</div>"
"FWS","Bonamia menziesii","No common name","Endangered","1994/11/10","<div>Flowering Plants</div>"
"FWS","Brighamia insignis","Olulu","Endangered","1994/02/25","<div>Flowering Plants</div>"
"FWS","Calyptranthes thomasiana","No common name","Endangered","1994/02/18","<div>Flowering Plants</div>"
"FWS","Chorizanthe pungens var. hartwegiana","Spineflower, Ben Lomond","Endangered","1994/02/04","<div>Flowering Plants</div>"
"FWS","Chorizanthe pungens var. pungens","Spineflower, Monterey","Threatened","1994/02/04","<div>Flowering Plants</div>"
"FWS","Chorizanthe robusta (incl. vars. robusta and hartwegii)","Spineflower, Robust (incl. Scotts Valley) ()","Resolved Taxon","1994/02/04","<div>Flowering Plants</div>"
"FWS","Chorizanthe robusta var. hartwegii","spineflower, Scotts Valley ()","Endangered","1994/02/04","<div>Flowering Plants</div>"
"FWS","Chorizanthe robusta var. robusta","spineflower, Robust ()","Endangered","1994/02/04","<div>Flowering Plants</div>"
"FWS","Cirsium fontinale var. obispoense","Thistle, Chorro Creek bog","Endangered","1994/12/15","<div>Flowering Plants</div>"
"FWS","Clarkia speciosa ssp. immaculata","Clarkia, Pismo","Endangered","1994/12/15","<div>Flowering Plants</div>"
"FWS","Clermontia lindseyana","`Oha wai","Endangered","1994/03/04","<div>Flowering Plants</div>"
"FWS","Clermontia peleana","`Oha wai","Endangered","1994/03/04","<div>Flowering Plants</div>"
"FWS","Clermontia pyrularia","`Oha wai","Endangered","1994/03/04","<div>Flowering Plants</div>"
